"reporting_month","concat","monthly_reservation_days","avg_occupancy_rate","avg_revenue"
"2023-07","Private room in loft - private_room","77","87.75","2756.00"
"2023-08","Private room in loft - private_room","91","78.94","1371.86"
"2023-09","Private room in loft - private_room","103","75.20","2115.40"
"2023-10","Private room in loft - private_room","65","47.32","1268.60"
"2022-11","Private room in rental unit - private_room","427","58.62","693.51"
"2022-12","Private room in rental unit - private_room","485","66.15","732.77"
"2023-01","Private room in rental unit - private_room","390","59.64","549.64"
"2023-02","Private room in rental unit - private_room","425","58.12","554.02"
"2023-03","Private room in rental unit - private_room","580","55.31","657.69"
"2023-04","Private room in rental unit - private_room","743","75.00","922.40"
"2023-05","Private room in rental unit - private_room","675","66.11","915.22"
"2023-06","Private room in rental unit - private_room","969","70.10","996.43"
"2023-07","Private room in rental unit - private_room","1140","74.90","1139.35"
"2023-08","Private room in rental unit - private_room","1661","69.79","1262.25"
"2023-09","Private room in rental unit - private_room","1524","65.89","1196.04"
"2023-10","Private room in rental unit - private_room","1026","47.21","854.23"
"2023-07","Private room in residential home - private_room","11","50.80","550.00"
"2023-08","Private room in residential home - private_room","6","100.00","300.00"
"2023-04","Private room in serviced apartment - private_room","4","100.00","448.00"
"2023-05","Private room in serviced apartment - private_room","8","41.70","896.00"
"2023-06","Private room in serviced apartment - private_room","5","75.00","735.00"
"2023-07","Private room in serviced apartment - private_room","2","100.00","514.00"
"2023-08","Private room in serviced apartment - private_room","26","59.55","2899.50"
"2023-09","Private room in serviced apartment - private_room","9","52.05","1067.50"
"2023-10","Private room in serviced apartment - private_room","6","18.95","732.00"
"2023-09","Private room in tiny home - private_room","30","100.00","1980.00"
"2023-03","Private room in tipi - private_room","3","60.00","384.00"
"2023-04","Private room in tipi - private_room","5","27.30","550.00"
"2023-05","Private room in tipi - private_room","2","20.00","236.00"
"2023-06","Private room in tipi - private_room","6","65.50","720.00"
"2023-07","Private room in tipi - private_room","3","22.50","357.00"
"2023-08","Private room in tipi - private_room","0","0.00","0.00"
